Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5Bge1Dsqjc14hhGguYML5w,"2D4FOOOtWycb3Aw9nY5n3c","Why Do You Feel So Down","What Do You Think About the Car?","Declan McKenna",2017-07-21,220706,68,spotify:user:emberg547,2021-02-24T00:10:16Z,"indie pop,modern alternative rock,modern rock,rock",0.558,0.909,7,-5.851,1,0.0406,0.0576,0,0.102,0.452,114.56,4
5jSBnH9NyaNP5zdSB3pwgu,"3MZsBdqDrRTJihTHQrO6Dq","Gimme Love","Nectar","Joji",2020-09-24,214557,69,spotify:user:emberg547,2021-02-24T00:12:27Z,"alternative r&b,viral pop",0.484,0.632,5,-6.917,1,0.0976,0.695,0.0243,0.209,0.0736,126.384,3
7KA4W4McWYRpgf0fWsJZWB,"4V8LLVI7PbaPR0K2TGSxFF,1U1el3k54VvEUzo3ybLPlM","See You Again (feat. Kali Uchis)","Flower Boy","Tyler, The Creator,Kali Uchis",2017-07-21,180386,85,spotify:user:emberg547,2021-02-24T00:12:32Z,"hip hop,rap,colombian pop,pop",0.558,0.559,6,-9.222,1,0.0959,0.371,0.00000749,0.109,0.62,78.558,4
3s7MCdXyWmwjdcWh7GWXas,"5K4W6rqBFWDnAN6FQUkS6x","Violent Crimes","ye","Kanye West",2018-06-01,215320,78,spotify:user:emberg547,2021-02-24T00:12:40Z,"chicago rap,rap",0.669,0.419,1,-6.724,0,0.522,0.376,0,0.187,0.0397,109.813,4
0NuWgxEp51CutD2pJoF4OM,"1dy5WNgIKQU6ezkpZs4y8z","blind","our little angel - EP","ROLE MODEL",2020-10-21,153293,74,spotify:user:emberg547,2021-02-24T00:12:43Z,"alt z,bedroom pop,indie pop,pop",0.765,0.663,0,-5.223,1,0.0652,0.141,0.000297,0.0924,0.686,150.091,4
0zePbRMJ9sd7wsZRlbPQua,"6eJa3zG1QZLRB3xgRuyxbm","Hot Rod","Fuzzybrain","Dayglow",2019-11-14,204014,78,spotify:user:emberg547,2021-02-24T00:12:49Z,"austindie,indie pop,modern rock",0.707,0.767,7,-7.072,1,0.0323,0.0279,0.000295,0.169,0.832,139.985,4
64lsIF5pw0sJY0gV5kz0RN,"6eJa3zG1QZLRB3xgRuyxbm","Can I Call You Tonight?","Fuzzybrain","Dayglow",2019-11-14,278769,83,spotify:user:emberg547,2021-02-24T00:12:53Z,"austindie,indie pop,modern rock",0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98,4
5hc71nKsUgtwQ3z52KEKQk,"3mIj9lX2MWuHmhNCA7LSCW","Somebody Else","I like it when you sleep, for you are so beautiful yet so unaware of it","The 1975",2016-02-26,347520,76,spotify:user:emberg547,2021-02-24T00:13:29Z,"modern alternative rock,modern rock,pop,rock",0.61,0.788,0,-5.724,1,0.0585,0.195,0.0142,0.153,0.472,101.045,4
4BsLwvaJOTOHDNg7xMpvrL,"4iMO20EPodreIaEl8qW66y","Habit","Habit","Still Woozy",2019-12-12,153871,71,spotify:user:emberg547,2021-02-24T00:13:41Z,"bedroom pop,modern rock,oakland indie",0.767,0.392,1,-11.996,1,0.0945,0.154,0.000398,0.108,0.48,125.017,4
2tznHmp70DxMyr2XhWLOW0,"26T3LtbuGT1Fu9m0eRq5X3","Cigarette Daydreams","Melophobia","Cage The Elephant",2013-10-08,208760,81,spotify:user:emberg547,2021-02-24T00:15:03Z,"modern rock,punk blues,rock",0.636,0.676,2,-3.442,1,0.0263,0.0807,0,0.0831,0.273,113.98,4
04GyFGGvAyItrPfeV0HNj2,"5INjqkS1o8h1imAzPqGZBb","Eventually","Currents","Tame Impala",2015-07-17,318550,0,spotify:user:emberg547,2021-02-24T00:15:14Z,"australian psych,neo-psychedelic",0.415,0.616,9,-6.217,0,0.0323,0.012,0.000669,0.0981,0.142,77.969,4
0wXuerDYiBnERgIpbb3JBR,"73sIBHcqh3Z3NyqHKZ7FOL","Redbone","Awaken, My Love!","Childish Gambino",2016-12-02,326933,85,spotify:user:emberg547,2021-02-24T00:15:25Z,"atl hip hop,hip hop,pop,pop rap,rap",0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143,4
6CES1554HcWMIVroJfmmBm,"1btWGBz4Uu1HozTwb2Lm8A","Way It Goes","Landmark","Hippo Campus",2017-02-24,245456,66,spotify:user:emberg547,2021-02-24T00:15:50Z,"indie pop,indie poptimism,minneapolis indie,modern alternative rock,modern rock,pop rock",0.542,0.906,9,-4.213,1,0.0491,0.021,0.00043,0.377,0.515,120.014,4
6Fqf0OTfB9VPfYk2HfBhPn,"7vtSUU3zpHeYJfX6BPNrJd","Freakin' Out On the Interstate","Carnival","Briston Maroney",2018-11-16,251906,66,spotify:user:emberg547,2021-02-24T00:16:08Z,"indie pop,modern rock,nashville indie",0.452,0.79,4,-5.01,1,0.0534,0.391,0,0.303,0.362,143.861,4
1170VohRSx6GwE6QDCHPPH,"6p2HnfM955TI1bX34dkLnI","Kilby Girl","When We Were Friends","The Backseat Lovers",2019-01-27,282205,81,spotify:user:emberg547,2021-02-24T00:16:18Z,"indie pop,modern rock,slc indie",0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,4
1otG6j1WHNvl9WgXLWkHTo,"1U1el3k54VvEUzo3ybLPlM,4V8LLVI7PbaPR0K2TGSxFF,5K0rbdBrs2tNXe5LeWMATT","After The Storm (feat. Tyler, The Creator & Bootsy Collins)","Isolation","Kali Uchis,Tyler, The Creator,Bootsy Collins",2018-04-06,207454,79,spotify:user:emberg547,2021-02-24T00:16:26Z,"colombian pop,pop,hip hop,rap,funk,p funk,quiet storm,soul",0.702,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64,4
4vHNeBWDQpVCmGbaccrRzi,"4iMO20EPodreIaEl8qW66y","Goodie Bag","Goodie Bag","Still Woozy",2017-11-05,146390,79,spotify:user:emberg547,2021-02-24T00:16:33Z,"bedroom pop,modern rock,oakland indie",0.739,0.522,7,-12.304,0,0.151,0.821,0.00124,0.233,0.619,138.263,4
75TDPu9k7Yv3IovdYaNCwk,"4iMO20EPodreIaEl8qW66y","Cooks","Cooks","Still Woozy",2017-07-16,174105,70,spotify:user:emberg547,2021-02-24T00:16:36Z,"bedroom pop,modern rock,oakland indie",0.45,0.583,4,-10.49,0,0.0811,0.434,0.0126,0.244,0.701,77.066,4
5n0CTysih20NYdT2S0Wpe8,"26T3LtbuGT1Fu9m0eRq5X3","Trouble","Tell Me I'm Pretty","Cage The Elephant",2015-12-18,225973,75,spotify:user:emberg547,2021-02-24T00:16:41Z,"modern rock,punk blues,rock",0.47,0.623,0,-5.655,1,0.0302,0.392,0.000439,0.0992,0.298,77.861,4
5JRMqkR82k2fdDEAim9SCN,"07EcmJpfAday8xGkslfanE","Peach","ARIZONA BABY","Kevin Abstract",2019-04-25,176732,75,spotify:user:emberg547,2021-02-24T00:16:49Z,"afrofuturism,alternative r&b,hip hop,lgbtq+ hip hop,rap",0.646,0.682,7,-5.847,1,0.0759,0.683,0.00000484,0.107,0.421,131.895,4
4EWBhKf1fOFnyMtUzACXEc,"7pbDxGE6nQSZVfiFdq9lOL","Pluto Projector","Pony","Rex Orange County",2019-10-25,267520,81,spotify:user:emberg547,2021-02-24T00:17:08Z,"bedroom pop,pop",0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786,4
7vgTNTaEz3CsBZ1N4YQalM,"5K4W6rqBFWDnAN6FQUkS6x,2HPaUgqeutzr3jx5a9WyDV","Ghost Town","ye","Kanye West,PARTYNEXTDOOR",2018-06-01,271386,80,spotify:user:emberg547,2021-02-24T00:17:14Z,"chicago rap,rap,pop,pop rap,r&b,toronto rap,trap,urban contemporary",0.573,0.545,7,-4.247,0,0.0288,0.0969,0,0.329,0.297,83.378,4
