Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4NtUY5IGzHCaqfZemmAu56,"0LcJLqbBmaGUft1e9Mm8HV","Dancing Queen","Arrival","ABBA",1976,230693,2,spotify:user:emberg547,2018-12-15T04:08:08Z,"europop,swedish pop",0.539,0.884,9,-6.53,1,0.0403,0.382,0.00166,0.76,0.752,100.812,4
4bHsxqR3GMrXTxEPLuK5ue,"0rvjqX7ttXeg3mTy8Xscbt","Don't Stop Believin'","Escape","Journey",1981,250986,84,spotify:user:emberg547,2018-12-20T13:05:13Z,"album rock,classic rock,hard rock,mellow gold,rock,soft rock",0.5,0.748,4,-9.072,1,0.0363,0.127,0,0.447,0.514,118.852,4
1fDsrQ23eTAVFElUMaf38X,"1gRNBaI4yn6wCCTvRhGWh8","American Pie","American Pie","Don McLean",1971,516893,78,spotify:user:emberg547,2018-12-20T13:05:16Z,"adult standards,classic rock,folk,folk rock,mellow gold,singer-songwriter,soft rock",0.531,0.481,4,-11.709,0,0.06,0.699,0,0.0842,0.491,138.45,4
47nm8czanMUzIqHsnr5x61,"2bA6fzP0lMAQ4kz6CF61w8","Red Solo Cup","Clancy's Tavern (Deluxe Edition)","Toby Keith",2011-01-01,223386,0,spotify:user:emberg547,2018-12-20T13:05:20Z,"contemporary country,country,country road,oklahoma country",0.549,0.563,4,-6.655,1,0.0669,0.279,0,0.215,0.81,163.991,4
3XVozq1aeqsJwpXrEZrDJ9,"7GXXMm3DB1VswVcuGyInUd","Ice Ice Baby","Vanilla Ice Is Back! - Hip Hop Classics","Vanilla Ice",2008-11-04,254466,73,spotify:user:emberg547,2018-12-20T13:05:23Z,"hip house,miami hip hop",0.979,0.792,2,-2.784,1,0.0388,0.0025,0.00000771,0.102,0.583,116.012,4
7tFiyTwD0nx5a1eklYtX2J,"1dfeR4HaWDbWqFHLkxsg1d","Bohemian Rhapsody - Remastered 2011","A Night At The Opera (Deluxe Remastered Version)","Queen",1975-11-21,354320,76,spotify:user:emberg547,2018-12-20T13:05:26Z,"classic rock,glam rock,rock",0.392,0.402,0,-9.961,0,0.0536,0.288,0,0.243,0.228,143.883,4
78WVLOP9pN0G3gRLFy1rAa,"6zFYqv1mOsgBRQbae3JJ9e","Piano Man","Piano Man","Billy Joel",1973-11-09,336200,66,spotify:user:emberg547,2018-12-20T13:05:30Z,"classic rock,folk rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",0.334,0.477,0,-8.806,1,0.0276,0.618,0.00000417,0.312,0.405,179.239,3
6zmQ8bzlDIfngjy0Ba3w46,"3WrFJ7ztbogyGnTHbHJFl2,0IecGJbdBeYSOVtSPRehh5","Get Back - Remastered 2015","1 (Remastered)","The Beatles,Billy Preston",2000-11-13,191773,60,spotify:user:emberg547,2018-12-30T05:28:09Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock,classic soul,funk,motown,psychedelic soul,quiet storm,rock keyboard,soul,southern soul",0.703,0.636,7,-7.579,1,0.0376,0.186,0.0256,0.0959,0.218,122.921,4
0r8H7m8knNVn3iUXwQCnVo,"58lV9VcRSjABbAbfWS6skp","Shot Through The Heart","Bon Jovi","Bon Jovi",1984-01-01,265933,55,spotify:user:emberg547,2018-12-31T16:51:54Z,"glam metal,rock",0.435,0.931,9,-5.055,0,0.0725,0.0418,0.000293,0.0846,0.387,153.475,4
2HHtWyy5CgaQbC7XSoOb0e,"26bcq2nyj5GB7uRr558iQg","Eye of the Tiger","Eye Of The Tiger","Survivor",1982,243773,76,spotify:user:emberg547,2018-12-31T16:51:56Z,"album rock,hard rock,mellow gold,rock,soft rock",0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965,4
7e89621JPkKaeDSTQ3avtg,"4MVyzYMgTwdP7Z49wAZHx0","Sweet Home Alabama","Second Helping","Lynyrd Skynyrd",1974-04-15,283800,83,spotify:user:emberg547,2018-12-31T16:51:59Z,"album rock,blues rock,classic rock,country rock,hard rock,mellow gold,rock,southern rock",0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,4
05I2vZxtfmf0zkps9bE3on,"3RwQ26hR2tJtA8F9p2n7jG","My Girl","My Girl","The Temptations",1997-01-01,175933,11,spotify:user:emberg547,2019-01-17T13:10:46Z,"brill building pop,classic soul,funk,memphis soul,motown,soul",0.567,0.608,7,-4.492,1,0.0398,0.306,0,0.195,0.507,105.016,4
6l7tK5SsMlN8a9ccgeIkpS,"7mEIug7XUlQHikrFxjTWes","Sweet Caroline - Single Version","In My Lifetime","Neil Diamond",1996-10-29,201800,0,spotify:user:emberg547,2019-01-17T13:10:54Z,"adult standards,brill building pop,folk rock,mellow gold,singer-songwriter,soft rock,yacht rock",0.556,0.161,11,-13.944,1,0.0297,0.505,0.0000436,0.28,0.588,126.534,4
