Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2cX2coZS1PYBfPs8wgbdWE,"1LZEQNv7sE11VDY3SdxQeN","More Than A Woman - From Saturday Night Fever Soundtrack","How Can You Mend A Broken Heart","Bee Gees",2020-12-11,196213,81,spotify:user:emberg547,2021-12-03T22:39:59Z,"disco,mellow gold,soft rock",0.601,0.703,7,-6.24,1,0.0379,0.175,0.000084,0.571,0.673,106.164,4
3vkQ5DAB1qQMYO4Mr9zJN6,"0LcJLqbBmaGUft1e9Mm8HV","Gimme! Gimme! Gimme! (A Man After Midnight)","Voulez-Vous","ABBA",1979,292613,82,spotify:user:emberg547,2021-12-03T22:53:58Z,"europop,swedish pop",0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,4
3gdewACMIVMEWVbyb8O9sY,"3PhoLpVuITZKcymswpck5b","Rocket Man (I Think It's Going To Be A Long, Long Time)","Honky Chateau","Elton John",1972-05-19,281613,84,spotify:user:emberg547,2021-12-03T22:59:24Z,"glam rock,mellow gold,piano rock",0.601,0.532,10,-9.119,1,0.0286,0.432,0.00000625,0.0925,0.341,136.571,4
4RvWPyQ5RL0ao9LPZeSouE,"4bthk9UfsYUYdcFyqxmSUU","Everybody Wants To Rule The World","Songs From The Big Chair (Super Deluxe Edition)","Tears For Fears",1985-02-25,251488,85,spotify:user:emberg547,2021-12-04T00:25:47Z,"new romantic,new wave,new wave pop,permanent wave,rock,soft rock,sophisti-pop,synthpop",0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4
70Znjq5VPKFrwlB7O26SWT,"6zFYqv1mOsgBRQbae3JJ9e","Zanzibar","52nd Street","Billy Joel",1978-10-13,310760,66,spotify:user:emberg547,2021-12-04T00:25:51Z,"classic rock,folk rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",0.589,0.46,9,-14.54,0,0.0511,0.271,0.0000495,0.224,0.705,148.172,4
1ko2lVN0vKGUl9zrU0qSlT,"05YVYeV4HxYp5rrWalvuE1,1ThoqLcyIYvZn7iWbj8fsj","Just the Two of Us (feat. Bill Withers)","Anthology","Grover Washington, Jr.,Bill Withers",1985,438493,83,spotify:user:emberg547,2021-12-04T00:34:37Z,"funk,motown,quiet storm,soul",0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,4
5e9TFTbltYBg2xThimr0rU,"08GQAI4eElDnROBrJRGE0X","The Chain - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,270213,83,spotify:user:emberg547,2021-12-04T00:34:51Z,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,4
7FjIYiD53wxlQmzTT6Wdpf,"5uuqghaOBgtv92jDyDveQl","space girl","space girl","Frances Forever",2020-03-27,231440,74,spotify:user:emberg547,2021-12-04T00:38:01Z,"bedroom pop,indie pop",0.669,0.395,9,-9.598,1,0.03,0.332,0.000196,0.37,0.196,125.979,4
777NOXupZkFdg8zlPMoVqc,"7jefIIksOi1EazgRTfW2Pk","Evil Woman","Face the Music","Electric Light Orchestra",1975-10-01,269840,65,spotify:user:emberg547,2021-12-04T00:44:01Z,"album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock",0.677,0.619,9,-7.446,0,0.0334,0.457,0.000149,0.221,0.74,119.624,4
6XGLwzmePvcYS2cbGOhxLJ,"4EhmdnjkRcRrJaRmyUkzAK","Darlin' darlin'","Darlin' darlin'","The Knee-Hi's",2020-08-18,142307,47,spotify:user:emberg547,2021-12-04T00:48:00Z,"",0.523,0.381,7,-11.158,1,0.03,0.073,0.00000259,0.172,0.452,95.606,4
3KzgdYUlqV6TOG7JCmx2Wg,"0EodhzA6yW1bIdD5B4tcmJ","Beyond the Sea","That's All","Bobby Darin",1959,172480,72,spotify:user:emberg547,2021-12-04T04:21:56Z,"adult standards,brill building pop,easy listening,lounge,rock-and-roll,rockabilly,soul,swing,vocal jazz",0.521,0.516,2,-7.456,0,0.0369,0.723,0,0.257,0.569,136.483,4
0bhwnn2xqnBUcMZDcXNuII,"4Fgj7fAOMYS3rMV4cUN2On","Hey Lover","Hey Lover / Stand by Me","The Daughters Of Eve",1966-02-05,144000,65,spotify:user:emberg547,2021-12-04T19:08:24Z,"",0.48,0.482,7,-11.45,0,0.0362,0.25,0.000289,0.345,0.684,128.16,4
